pattern_url,date-accessed
"/patterns/display/bobbel-aka-dimple/", "Tue Mar 21 12:32:10 2023"
"/patterns/display/wellenpatent-versuch-1/", "Tue Mar 21 12:32:10 2023"
"/patterns/display/fausse-torsades-torses/", "Tue Mar 21 12:32:10 2023"
"/patterns/display/einfacher-zopf/", "Tue Mar 21 12:32:10 2023"
"/patterns/display/neume/", "Tue Mar 21 12:32:10 2023"
"/patterns/display/norwegian-adapted-lace-mlm/", "Tue Mar 21 12:32:10 2023"
"/patterns/display/kappchenferse/", "Tue Mar 21 12:32:10 2023"
"/patterns/display/flammes-zigzag/", "Tue Mar 21 12:32:10 2023"
"/patterns/display/patt-2023/", "Tue Mar 21 12:32:10 2023"
"/patterns/display/monaco/", "Tue Mar 21 12:32:10 2023"
"/patterns/display/zopfmuster-30/", "Tue Mar 21 12:32:10 2023"
"/patterns/display/herzferse/", "Tue Mar 21 12:32:10 2023"
"/patterns/display/ferse/", "Tue Mar 21 12:32:10 2023"
"/patterns/display/star-of-4-points-toe-variation/", "Tue Mar 21 12:32:10 2023"
"/patterns/display/ginkgo-leaf-1/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/asdf/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/statt-stinos-035-2/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/zopfmuster-fur-socke/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/helical-broken-seed/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/sdawd/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/cube-6sts/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/statt-1/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/kelpie-hexagon-4/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/sockenspitze-experiment-k3-p1/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/mermaid-washcloth/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/small-octopus-washcloth-2/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/brioche-test-12/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/brioche-test-1-1/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/small-octopus-washcloth/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/brioche-test-2-1/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/testing-13/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/catalams-shawl-big/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/shawl-23/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/statt-stinos-037-3/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/statt-stinos-037-2/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/shawl-22/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/shawl-20/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/shawl-19/", "Tue Mar 21 12:32:11 2023"
"/patterns/display/shawl-16/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/shawl-14/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/zick-zack-1/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/statt-stinos-037-1/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/altenating-increase-and-decrease/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/seersucker-mini/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/lace-wip/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/scarf-14/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/garter-ridge-lace/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/kelpie-hexagon-3/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/zickzack-2/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/section-of-waldorf-baby-hat-back/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/section-of-waldorf-baby-hat-front/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/dec-test/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/octopus-washcloth/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/insert-4/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/statt-stinos-035/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/tbc-30/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/tbc-29/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/lace-31/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/filtade-tofflor-2/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/tbc-28/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/tbc-27/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/blattmuster-1/", "Tue Mar 21 12:32:12 2023"
"/patterns/display/tbc-26/", "Tue Mar 21 12:32:13 2023"
"/patterns/display/lurline-scarf/", "Tue Mar 21 12:32:13 2023"
"/patterns/display/kelpie-hexagon-2/", "Tue Mar 21 12:32:13 2023"
"/patterns/display/lahmi-mittens-wip/", "Tue Mar 21 12:32:13 2023"
